Continent,Pays,Année,Production de vin,Unité
Europe,Malte,2008,32,1000hl
Europe,Malte,2009,37,1000hl
Europe,Malte,2010,15,1000hl
Europe,Malte,2011,15,1000hl
Europe,Malte,2012,22,1000hl
Europe,Malte,2013,21,1000hl
Europe,Malte,2014,21,1000hl
Europe,Malte,2015,20,1000hl
Europe,Malte,2016,15,1000hl
Europe,Malte,2017,15,1000hl
Europe,Malte,2018,17,1000hl
Europe,Malte,2019,13,1000hl
Afrique,Maroc,1995,173,1000hl
Afrique,Maroc,1996,284,1000hl
Afrique,Maroc,1997,376,1000hl
Afrique,Maroc,1998,298,1000hl
Afrique,Maroc,1999,493,1000hl
Afrique,Maroc,2000,299,1000hl
Afrique,Maroc,2001,286,1000hl
Afrique,Maroc,2002,342,1000hl
Afrique,Maroc,2003,343,1000hl
Afrique,Maroc,2004,326,1000hl
Afrique,Maroc,2005,375,1000hl
Afrique,Maroc,2006,419,1000hl
Afrique,Maroc,2007,370,1000hl
Afrique,Maroc,2008,350,1000hl
Afrique,Maroc,2009,295,1000hl
Afrique,Maroc,2010,333,1000hl
Afrique,Maroc,2011,340,1000hl
Afrique,Maroc,2012,345,1000hl
Afrique,Maroc,2013,370,1000hl
Afrique,Maroc,2014,327,1000hl
Afrique,Maroc,2015,386,1000hl
Afrique,Maroc,2016,325,1000hl
Afrique,Maroc,2017,344,1000hl
Afrique,Maroc,2018,408,1000hl
Afrique,Maroc,2019,408,1000hl
Amérique,Mexique,1995,1466,1000hl
Amérique,Mexique,1996,1332,1000hl
Amérique,Mexique,1997,1524,1000hl
Amérique,Mexique,1998,1361,1000hl
Amérique,Mexique,1999,1443,1000hl
Amérique,Mexique,2000,1041,1000hl
Amérique,Mexique,2001,1411,1000hl
Amérique,Mexique,2002,1012,1000hl
Amérique,Mexique,2003,1096,1000hl
Amérique,Mexique,2004,730,1000hl
Amérique,Mexique,2005,415,1000hl
Amérique,Mexique,2006,568,1000hl
Amérique,Mexique,2007,630,1000hl
Amérique,Mexique,2008,557,1000hl
Amérique,Mexique,2009,353,1000hl
Amérique,Mexique,2010,346,1000hl
Amérique,Mexique,2011,385,1000hl
Amérique,Mexique,2012,394,1000hl
Amérique,Mexique,2013,418,1000hl
Amérique,Mexique,2014,397,1000hl
Amérique,Mexique,2015,425,1000hl
Amérique,Mexique,2016,404,1000hl
Amérique,Mexique,2017,387,1000hl
Amérique,Mexique,2018,406,1000hl
Amérique,Mexique,2019,406,1000hl
Europe,"Moldova, République",1995,2964,1000hl
Europe,"Moldova, République",1996,2291,1000hl
Europe,"Moldova, République",1997,3123,1000hl
Europe,"Moldova, République",1998,1511,1000hl
Europe,"Moldova, République",1999,1332,1000hl
Europe,"Moldova, République",2000,1112,1000hl
Europe,"Moldova, République",2001,1604,1000hl
Europe,"Moldova, République",2002,2251,1000hl
Europe,"Moldova, République",2003,3215,1000hl
Europe,"Moldova, République",2004,3026,1000hl
Europe,"Moldova, République",2005,2520,1000hl
Europe,"Moldova, République",2006,1938,1000hl
Europe,"Moldova, République",2007,1510,1000hl
Europe,"Moldova, République",2008,1710,1000hl
Europe,"Moldova, République",2009,1590,1000hl
Europe,"Moldova, République",2010,840,1000hl
Europe,"Moldova, République",2011,1520,1000hl
Europe,"Moldova, République",2012,1470,1000hl
Europe,"Moldova, République",2013,2570,1000hl
Europe,"Moldova, République",2014,1630,1000hl
Europe,"Moldova, République",2015,1560,1000hl
Europe,"Moldova, République",2016,1495,1000hl
Europe,"Moldova, République",2017,1801,1000hl
Europe,"Moldova, République",2018,1900,1000hl
Europe,"Moldova, République",2019,1460,1000hl
Europe,Monténégro,2006,166,1000hl
Europe,Monténégro,2007,130,1000hl
Europe,Monténégro,2008,170,1000hl
Europe,Monténégro,2009,171,1000hl
Europe,Monténégro,2010,180,1000hl
Europe,Monténégro,2011,118,1000hl
Europe,Monténégro,2012,174,1000hl
Europe,Monténégro,2013,160,1000hl
Europe,Monténégro,2014,97,1000hl
Europe,Monténégro,2015,151,1000hl
Europe,Monténégro,2016,172,1000hl
Europe,Monténégro,2017,133,1000hl
Europe,Monténégro,2018,144,1000hl
Europe,Monténégro,2019,144,1000hl
Océanie,Nouvelle-zélande,1995,564,1000hl
Océanie,Nouvelle-zélande,1996,573,1000hl
Océanie,Nouvelle-zélande,1997,458,1000hl
Océanie,Nouvelle-zélande,1998,606,1000hl
Océanie,Nouvelle-zélande,1999,602,1000hl
Océanie,Nouvelle-zélande,2000,601,1000hl
Océanie,Nouvelle-zélande,2001,533,1000hl
Océanie,Nouvelle-zélande,2002,890,1000hl
Océanie,Nouvelle-zélande,2003,550,1000hl
Océanie,Nouvelle-zélande,2004,1192,1000hl
Océanie,Nouvelle-zélande,2005,1020,1000hl
Océanie,Nouvelle-zélande,2006,1332,1000hl
Océanie,Nouvelle-zélande,2007,1476,1000hl
Océanie,Nouvelle-zélande,2008,2052,1000hl
Océanie,Nouvelle-zélande,2009,2050,1000hl
Océanie,Nouvelle-zélande,2010,1900,1000hl
Océanie,Nouvelle-zélande,2011,2350,1000hl
Océanie,Nouvelle-zélande,2012,1940,1000hl
Océanie,Nouvelle-zélande,2013,2484,1000hl
Océanie,Nouvelle-zélande,2014,3204,1000hl
Océanie,Nouvelle-zélande,2015,2347,1000hl
Océanie,Nouvelle-zélande,2016,3139,1000hl
Océanie,Nouvelle-zélande,2017,2851,1000hl
Océanie,Nouvelle-zélande,2018,3017,1000hl
Océanie,Nouvelle-zélande,2019,2974,1000hl
Asie,Ouzbékistan,1995,830,1000hl
Asie,Ouzbékistan,1996,550,1000hl
Asie,Ouzbékistan,1997,650,1000hl
Asie,Ouzbékistan,1998,620,1000hl
Asie,Ouzbékistan,1999,590,1000hl
Asie,Ouzbékistan,2000,410,1000hl
Asie,Ouzbékistan,2001,435,1000hl
Asie,Ouzbékistan,2002,336,1000hl
Asie,Ouzbékistan,2003,458,1000hl
Asie,Ouzbékistan,2004,350,1000hl
Asie,Ouzbékistan,2005,241,1000hl
Asie,Ouzbékistan,2006,231,1000hl
Asie,Ouzbékistan,2007,250,1000hl
Asie,Ouzbékistan,2008,245,1000hl
Asie,Ouzbékistan,2009,211,1000hl
Asie,Ouzbékistan,2010,213,1000hl
Asie,Ouzbékistan,2011,361,1000hl
Asie,Ouzbékistan,2012,375,1000hl
Asie,Ouzbékistan,2013,358,1000hl
Asie,Ouzbékistan,2014,253,1000hl
Asie,Ouzbékistan,2015,255,1000hl
Asie,Ouzbékistan,2016,272,1000hl
Asie,Ouzbékistan,2017,256,1000hl
Asie,Ouzbékistan,2018,236,1000hl
Asie,Ouzbékistan,2019,236,1000hl
Amérique,Panama,1995,2,1000hl
Amérique,Panama,1996,2,1000hl
Amérique,Panama,1997,2,1000hl
Amérique,Panama,1998,2,1000hl
Amérique,Panama,1999,2,1000hl
Amérique,Panama,2000,1,1000hl
Amérique,Panama,2001,1,1000hl
Amérique,Panama,2002,1,1000hl
Amérique,Panama,2003,1,1000hl
Amérique,Panama,2004,1,1000hl
Amérique,Panama,2005,1,1000hl
Amérique,Panama,2006,1,1000hl
Amérique,Panama,2007,1,1000hl
Amérique,Panama,2008,1,1000hl
Amérique,Panama,2009,1,1000hl
Amérique,Panama,2010,2,1000hl
Amérique,Panama,2011,1,1000hl
Amérique,Panama,2012,1,1000hl
Amérique,Panama,2013,1,1000hl
Amérique,Panama,2014,2,1000hl
Amérique,Panama,2015,1,1000hl
Amérique,Panama,2016,1,1000hl
Amérique,Panama,2017,1,1000hl
Amérique,Panama,2018,1,1000hl
Amérique,Panama,2019,1,1000hl
Amérique,Paraguay,1995,77,1000hl
Amérique,Paraguay,1996,80,1000hl
Amérique,Paraguay,1997,80,1000hl
Amérique,Paraguay,1998,80,1000hl
Amérique,Paraguay,1999,74,1000hl
Amérique,Paraguay,2000,56,1000hl
Amérique,Paraguay,2001,60,1000hl
Amérique,Paraguay,2002,60,1000hl
Amérique,Paraguay,2003,60,1000hl
Amérique,Paraguay,2004,60,1000hl
Amérique,Paraguay,2005,16,1000hl
Amérique,Paraguay,2006,25,1000hl
Amérique,Paraguay,2007,16,1000hl
Amérique,Paraguay,2008,14,1000hl
Amérique,Paraguay,2009,15,1000hl
Amérique,Paraguay,2010,13,1000hl
Amérique,Paraguay,2011,14,1000hl
Amérique,Paraguay,2012,14,1000hl
Amérique,Paraguay,2013,15,1000hl
Amérique,Paraguay,2014,15,1000hl
Amérique,Paraguay,2015,15,1000hl
Amérique,Paraguay,2016,16,1000hl
Amérique,Paraguay,2017,16,1000hl
Amérique,Paraguay,2018,19,1000hl
Amérique,Paraguay,2019,19,1000hl
Europe,Portugal,1995,7255,1000hl
Europe,Portugal,1996,9712,1000hl
Europe,Portugal,1997,6124,1000hl
Europe,Portugal,1998,3750,1000hl
Europe,Portugal,1999,7844,1000hl
Europe,Portugal,2000,6710,1000hl
Europe,Portugal,2001,7789,1000hl
Europe,Portugal,2002,6677,1000hl
Europe,Portugal,2003,7340,1000hl
Europe,Portugal,2004,7481,1000hl
Europe,Portugal,2005,7266,1000hl
Europe,Portugal,2006,7542,1000hl
Europe,Portugal,2007,6073,1000hl
Europe,Portugal,2008,5689,1000hl
Europe,Portugal,2009,5894,1000hl
Europe,Portugal,2010,7148,1000hl
Europe,Portugal,2011,5622,1000hl
Europe,Portugal,2012,6327,1000hl
Europe,Portugal,2013,6231,1000hl
Europe,Portugal,2014,6206,1000hl
Europe,Portugal,2015,7048,1000hl
Europe,Portugal,2016,6010,1000hl
Europe,Portugal,2017,6737,1000hl
Europe,Portugal,2018,6060,1000hl
Europe,Portugal,2019,6527,1000hl
Amérique,Pérou,1995,106,1000hl
Amérique,Pérou,1996,111,1000hl
Amérique,Pérou,1997,120,1000hl
Amérique,Pérou,1998,120,1000hl
Amérique,Pérou,1999,127,1000hl
Amérique,Pérou,2000,330,1000hl
Amérique,Pérou,2001,373,1000hl
Amérique,Pérou,2002,408,1000hl
Amérique,Pérou,2003,458,1000hl
Amérique,Pérou,2004,480,1000hl
Amérique,Pérou,2005,590,1000hl
Amérique,Pérou,2006,600,1000hl
Amérique,Pérou,2007,610,1000hl
Amérique,Pérou,2008,620,1000hl
Amérique,Pérou,2009,515,1000hl
Amérique,Pérou,2010,520,1000hl
Amérique,Pérou,2011,630,1000hl
Amérique,Pérou,2012,650,1000hl
Amérique,Pérou,2013,700,1000hl
Amérique,Pérou,2014,730,1000hl
Amérique,Pérou,2015,747,1000hl
Amérique,Pérou,2016,750,1000hl
Amérique,Pérou,2017,765,1000hl
Amérique,Pérou,2018,820,1000hl
Amérique,Pérou,2019,820,1000hl
Europe,Roumanie,1995,6720,1000hl
Europe,Roumanie,1996,7663,1000hl
Europe,Roumanie,1997,6688,1000hl
Europe,Roumanie,1998,5002,1000hl
Europe,Roumanie,1999,6054,1000hl
Europe,Roumanie,2000,5456,1000hl
Europe,Roumanie,2001,5090,1000hl
Europe,Roumanie,2002,5461,1000hl
Europe,Roumanie,2003,5555,1000hl
Europe,Roumanie,2004,6166,1000hl
Europe,Roumanie,2005,2602,1000hl
Europe,Roumanie,2006,5014,1000hl
Europe,Roumanie,2007,5289,1000hl
Europe,Roumanie,2008,5159,1000hl
Europe,Roumanie,2009,6703,1000hl
Europe,Roumanie,2010,3287,1000hl
Europe,Roumanie,2011,4058,1000hl
Europe,Roumanie,2012,3311,1000hl
Europe,Roumanie,2013,5113,1000hl
Europe,Roumanie,2014,3750,1000hl
Europe,Roumanie,2015,3628,1000hl
Europe,Roumanie,2016,3267,1000hl
Europe,Roumanie,2017,4317,1000hl
Europe,Roumanie,2018,5088,1000hl
Europe,Roumanie,2019,3808,1000hl
Europe,Royaume-uni,1995,18,1000hl
Europe,Royaume-uni,1996,26,1000hl
Europe,Royaume-uni,1997,6,1000hl
Europe,Royaume-uni,1998,12,1000hl
Europe,Royaume-uni,1999,13,1000hl
Europe,Royaume-uni,2000,14,1000hl
Europe,Royaume-uni,2001,15,1000hl
Europe,Royaume-uni,2002,10,1000hl
Europe,Royaume-uni,2003,15,1000hl
Europe,Royaume-uni,2004,17,1000hl
Europe,Royaume-uni,2005,17,1000hl
Europe,Royaume-uni,2006,20,1000hl
Europe,Royaume-uni,2007,22,1000hl
Europe,Royaume-uni,2008,19,1000hl
Europe,Royaume-uni,2009,22,1000hl
Europe,Royaume-uni,2010,28,1000hl
Europe,Royaume-uni,2011,23,1000hl
Europe,Royaume-uni,2012,8,1000hl
Europe,Royaume-uni,2013,33,1000hl
Europe,Royaume-uni,2014,47,1000hl
Europe,Royaume-uni,2015,40,1000hl
Europe,Royaume-uni,2016,38,1000hl
Europe,Royaume-uni,2017,40,1000hl
Europe,Royaume-uni,2018,98,1000hl
Europe,Royaume-uni,2019,79,1000hl
Europe,République Tchèque,1995,459,1000hl
Europe,République Tchèque,1996,516,1000hl
Europe,République Tchèque,1997,405,1000hl
Europe,République Tchèque,1998,560,1000hl
Europe,République Tchèque,1999,563,1000hl
Europe,République Tchèque,2000,525,1000hl
Europe,République Tchèque,2001,518,1000hl
Europe,République Tchèque,2002,495,1000hl
Europe,République Tchèque,2003,510,1000hl
Europe,République Tchèque,2004,540,1000hl
Europe,République Tchèque,2005,436,1000hl
Europe,République Tchèque,2006,432,1000hl
Europe,République Tchèque,2007,820,1000hl
Europe,République Tchèque,2008,840,1000hl
Europe,République Tchèque,2009,570,1000hl
Europe,République Tchèque,2010,564,1000hl
Europe,République Tchèque,2011,650,1000hl
Europe,République Tchèque,2012,470,1000hl
Europe,République Tchèque,2013,501,1000hl
Europe,République Tchèque,2014,536,1000hl
Europe,République Tchèque,2015,819,1000hl
Europe,République Tchèque,2016,631,1000hl
Europe,République Tchèque,2017,645,1000hl
Europe,République Tchèque,2018,691,1000hl
Europe,République Tchèque,2019,492,1000hl
Asie,République Arabe Syrienne,1995,2,1000hl
Asie,République Arabe Syrienne,1996,3,1000hl
Asie,République Arabe Syrienne,1997,3,1000hl
Asie,République Arabe Syrienne,1998,2,1000hl
Asie,République Arabe Syrienne,1999,2,1000hl
Asie,République Arabe Syrienne,2000,3,1000hl
Asie,République Arabe Syrienne,2001,3,1000hl
Asie,République Arabe Syrienne,2002,3,1000hl
Asie,République Arabe Syrienne,2003,3,1000hl
Asie,République Arabe Syrienne,2004,3,1000hl
Asie,République Arabe Syrienne,2005,2,1000hl
Asie,République Arabe Syrienne,2006,2,1000hl
Asie,République Arabe Syrienne,2007,2,1000hl
Asie,République Arabe Syrienne,2008,2,1000hl
Asie,République Arabe Syrienne,2009,2,1000hl
Asie,République Arabe Syrienne,2010,1,1000hl
Asie,République Arabe Syrienne,2011,1,1000hl
Asie,République Arabe Syrienne,2012,1,1000hl
Asie,République Arabe Syrienne,2013,1,1000hl
Asie,République Arabe Syrienne,2014,1,1000hl
Asie,République Arabe Syrienne,2015,1,1000hl
Asie,République Arabe Syrienne,2016,1,1000hl
Asie,République Arabe Syrienne,2017,1,1000hl
Asie,République Arabe Syrienne,2018,1,1000hl
Asie,République Arabe Syrienne,2019,1,1000hl
Europe,République De Macédoine Du Nord,1995,911,1000hl
Europe,République De Macédoine Du Nord,1996,1010,1000hl
Europe,République De Macédoine Du Nord,1997,958,1000hl
Europe,République De Macédoine Du Nord,1998,1227,1000hl
Europe,République De Macédoine Du Nord,1999,912,1000hl
Europe,République De Macédoine Du Nord,2000,961,1000hl
Europe,République De Macédoine Du Nord,2001,830,1000hl
Europe,République De Macédoine Du Nord,2002,447,1000hl
Europe,République De Macédoine Du Nord,2003,930,1000hl
Europe,République De Macédoine Du Nord,2004,1059,1000hl
Europe,République De Macédoine Du Nord,2005,836,1000hl
Europe,République De Macédoine Du Nord,2006,615,1000hl
Europe,République De Macédoine Du Nord,2007,1075,1000hl
Europe,République De Macédoine Du Nord,2008,924,1000hl
Europe,République De Macédoine Du Nord,2009,955,1000hl
Europe,République De Macédoine Du Nord,2010,772,1000hl
Europe,République De Macédoine Du Nord,2011,665,1000hl
Europe,République De Macédoine Du Nord,2012,781,1000hl
Europe,République De Macédoine Du Nord,2013,1024,1000hl
Europe,République De Macédoine Du Nord,2014,510,1000hl
Europe,République De Macédoine Du Nord,2015,797,1000hl
Europe,République De Macédoine Du Nord,2016,785,1000hl
Europe,République De Macédoine Du Nord,2017,369,1000hl
Europe,République De Macédoine Du Nord,2018,525,1000hl
Europe,République De Macédoine Du Nord,2019,525,1000hl
Europe,Serbie,2006,1292,1000hl
Europe,Serbie,2007,1670,1000hl
Europe,Serbie,2008,1929,1000hl
Europe,Serbie,2009,2392,1000hl
Europe,Serbie,2010,1200,1000hl
Europe,Serbie,2011,1949,1000hl
Europe,Serbie,2012,1581,1000hl
Europe,Serbie,2013,1200,1000hl
Europe,Serbie,2014,734,1000hl
Europe,Serbie,2015,758,1000hl
Europe,Serbie,2016,648,1000hl
Europe,Serbie,2017,736,1000hl
Europe,Serbie,2018,665,1000hl
Europe,Serbie,2019,705,1000hl
Europe,Slovaquie,1995,662,1000hl
Europe,Slovaquie,1996,376,1000hl
Europe,Slovaquie,1997,586,1000hl
Europe,Slovaquie,1998,490,1000hl
Europe,Slovaquie,1999,497,1000hl
Europe,Slovaquie,2000,489,1000hl
Europe,Slovaquie,2001,480,1000hl
Europe,Slovaquie,2002,332,1000hl
Europe,Slovaquie,2003,431,1000hl
Europe,Slovaquie,2004,364,1000hl
Europe,Slovaquie,2005,292,1000hl
Europe,Slovaquie,2006,400,1000hl
Europe,Slovaquie,2007,340,1000hl
Europe,Slovaquie,2008,415,1000hl
Europe,Slovaquie,2009,330,1000hl
Europe,Slovaquie,2010,190,1000hl
Europe,Slovaquie,2011,343,1000hl
Europe,Slovaquie,2012,310,1000hl
Europe,Slovaquie,2013,318,1000hl
Europe,Slovaquie,2014,258,1000hl
Europe,Slovaquie,2015,340,1000hl
Europe,Slovaquie,2016,309,1000hl
Europe,Slovaquie,2017,298,1000hl
Europe,Slovaquie,2018,381,1000hl
Europe,Slovaquie,2019,319,1000hl
Europe,Slovénie,1995,781,1000hl
Europe,Slovénie,1996,539,1000hl
Europe,Slovénie,1997,580,1000hl
Europe,Slovénie,1998,484,1000hl
Europe,Slovénie,1999,367,1000hl
Europe,Slovénie,2000,412,1000hl
Europe,Slovénie,2001,645,1000hl
Europe,Slovénie,2002,540,1000hl
Europe,Slovénie,2003,671,1000hl
Europe,Slovénie,2004,506,1000hl
Europe,Slovénie,2005,634,1000hl
Europe,Slovénie,2006,527,1000hl
Europe,Slovénie,2007,664,1000hl
Europe,Slovénie,2008,555,1000hl
Europe,Slovénie,2009,593,1000hl
Europe,Slovénie,2010,570,1000hl
Europe,Slovénie,2011,638,1000hl
Europe,Slovénie,2012,485,1000hl
Europe,Slovénie,2013,526,1000hl
Europe,Slovénie,2014,494,1000hl
Europe,Slovénie,2015,617,1000hl
Europe,Slovénie,2016,739,1000hl
Europe,Slovénie,2017,630,1000hl
Europe,Slovénie,2018,889,1000hl
Europe,Slovénie,2019,758,1000hl
Europe,Suisse,1995,1181,1000hl
Europe,Suisse,1996,1304,1000hl
Europe,Suisse,1997,1045,1000hl
Europe,Suisse,1998,1172,1000hl
Europe,Suisse,1999,1312,1000hl
Europe,Suisse,2000,1276,1000hl
Europe,Suisse,2001,1173,1000hl
Europe,Suisse,2002,1112,1000hl
Europe,Suisse,2003,967,1000hl
Europe,Suisse,2004,1159,1000hl
Europe,Suisse,2005,1001,1000hl
Europe,Suisse,2006,1011,1000hl
Europe,Suisse,2007,1039,1000hl
Europe,Suisse,2008,1072,1000hl
Europe,Suisse,2009,1112,1000hl
Europe,Suisse,2010,1030,1000hl
Europe,Suisse,2011,1119,1000hl
Europe,Suisse,2012,1004,1000hl
Europe,Suisse,2013,839,1000hl
Europe,Suisse,2014,934,1000hl
Europe,Suisse,2015,850,1000hl
Europe,Suisse,2016,1077,1000hl
Europe,Suisse,2017,792,1000hl
Europe,Suisse,2018,1112,1000hl
Europe,Suisse,2019,979,1000hl
Asie,Tadjikistan,1995,95,1000hl
Asie,Tadjikistan,1996,131,1000hl
Asie,Tadjikistan,1997,82,1000hl
Asie,Tadjikistan,1998,65,1000hl
Asie,Tadjikistan,1999,52,1000hl
Asie,Tadjikistan,2000,39,1000hl
Asie,Tadjikistan,2001,56,1000hl
Asie,Tadjikistan,2002,60,1000hl
Asie,Tadjikistan,2003,20,1000hl
Asie,Tadjikistan,2004,62,1000hl
Asie,Tadjikistan,2005,50,1000hl
Asie,Tadjikistan,2006,40,1000hl
Asie,Tadjikistan,2007,2,1000hl
Asie,Tadjikistan,2008,3,1000hl
Asie,Tadjikistan,2009,3,1000hl
Asie,Tadjikistan,2010,2,1000hl
Asie,Tadjikistan,2011,2,1000hl
Asie,Tadjikistan,2012,2,1000hl
Asie,Tadjikistan,2013,2,1000hl
Asie,Tadjikistan,2014,2,1000hl
Asie,Tadjikistan,2015,1,1000hl
Asie,Tadjikistan,2016,2,1000hl
Asie,Tadjikistan,2017,2,1000hl
Asie,Tadjikistan,2018,2,1000hl
Asie,Tadjikistan,2019,2,1000hl
Afrique,Tunisie,1995,292,1000hl
Afrique,Tunisie,1996,221,1000hl
Afrique,Tunisie,1997,372,1000hl
Afrique,Tunisie,1998,352,1000hl
Afrique,Tunisie,1999,468,1000hl
Afrique,Tunisie,2000,397,1000hl
Afrique,Tunisie,2001,310,1000hl
Afrique,Tunisie,2002,264,1000hl
Afrique,Tunisie,2003,235,1000hl
Afrique,Tunisie,2004,358,1000hl
Afrique,Tunisie,2005,286,1000hl
Afrique,Tunisie,2006,347,1000hl
Afrique,Tunisie,2007,216,1000hl
Afrique,Tunisie,2008,291,1000hl
Afrique,Tunisie,2009,245,1000hl
Afrique,Tunisie,2010,222,1000hl
Afrique,Tunisie,2011,230,1000hl
Afrique,Tunisie,2012,284,1000hl
Afrique,Tunisie,2013,328,1000hl
Afrique,Tunisie,2014,320,1000hl
Afrique,Tunisie,2015,325,1000hl
Afrique,Tunisie,2016,305,1000hl
Afrique,Tunisie,2017,305,1000hl
Afrique,Tunisie,2018,320,1000hl
Afrique,Tunisie,2019,320,1000hl
Asie,Turkménistan,1995,492,1000hl
Asie,Turkménistan,1996,150,1000hl
Asie,Turkménistan,1997,360,1000hl
Asie,Turkménistan,1998,360,1000hl
Asie,Turkménistan,1999,354,1000hl
Asie,Turkménistan,2000,360,1000hl
Asie,Turkménistan,2001,396,1000hl
Asie,Turkménistan,2002,402,1000hl
Asie,Turkménistan,2003,408,1000hl
Asie,Turkménistan,2004,420,1000hl
Asie,Turkménistan,2005,432,1000hl
Asie,Turkménistan,2006,438,1000hl
Asie,Turkménistan,2007,444,1000hl
Asie,Turkménistan,2008,390,1000hl
Asie,Turkménistan,2009,402,1000hl
Asie,Turkménistan,2010,390,1000hl
Asie,Turkménistan,2011,390,1000hl
Asie,Turkménistan,2012,390,1000hl
Asie,Turkménistan,2013,390,1000hl
Asie,Turkménistan,2014,379,1000hl
Asie,Turkménistan,2015,383,1000hl
Asie,Turkménistan,2016,382,1000hl
Asie,Turkménistan,2017,385,1000hl
Asie,Turkménistan,2018,387,1000hl
Asie,Turkménistan,2019,387,1000hl
Asie,Turquie,1995,318,1000hl
Asie,Turquie,1996,363,1000hl
Asie,Turquie,1997,336,1000hl
Asie,Turquie,1998,345,1000hl
Asie,Turquie,1999,264,1000hl
Asie,Turquie,2000,248,1000hl
Asie,Turquie,2001,268,1000hl
Asie,Turquie,2002,262,1000hl
Asie,Turquie,2003,225,1000hl
Asie,Turquie,2004,309,1000hl
Asie,Turquie,2005,287,1000hl
Asie,Turquie,2006,253,1000hl
Asie,Turquie,2007,244,1000hl
Asie,Turquie,2008,393,1000hl
Asie,Turquie,2009,476,1000hl
Asie,Turquie,2010,601,1000hl
Asie,Turquie,2011,571,1000hl
Asie,Turquie,2012,546,1000hl
Asie,Turquie,2013,604,1000hl
Asie,Turquie,2014,604,1000hl
Asie,Turquie,2015,617,1000hl
Asie,Turquie,2016,496,1000hl
Asie,Turquie,2017,644,1000hl
Asie,Turquie,2018,754,1000hl
Asie,Turquie,2019,725,1000hl
Europe,Ukraine,1995,1860,1000hl
Europe,Ukraine,1996,1720,1000hl
Europe,Ukraine,1997,1550,1000hl
Europe,Ukraine,1998,1260,1000hl
Europe,Ukraine,1999,1250,1000hl
Europe,Ukraine,2000,1290,1000hl
Europe,Ukraine,2001,1780,1000hl
Europe,Ukraine,2002,2430,1000hl
Europe,Ukraine,2003,2380,1000hl
Europe,Ukraine,2004,2012,1000hl
Europe,Ukraine,2005,2130,1000hl
Europe,Ukraine,2006,2160,1000hl
Europe,Ukraine,2007,2516,1000hl
Europe,Ukraine,2008,2651,1000hl
Europe,Ukraine,2009,3181,1000hl
Europe,Ukraine,2010,3002,1000hl
Europe,Ukraine,2011,3170,1000hl
Europe,Ukraine,2012,2400,1000hl
Europe,Ukraine,2013,2827,1000hl
Europe,Ukraine,2014,1229,1000hl
Europe,Ukraine,2015,920,1000hl
Europe,Ukraine,2016,1242,1000hl
Europe,Ukraine,2017,1039,1000hl
Europe,Ukraine,2018,1010,1000hl
Europe,Ukraine,2019,990,1000hl
Amérique,Uruguay,1995,852,1000hl
Amérique,Uruguay,1996,963,1000hl
Amérique,Uruguay,1997,1028,1000hl
Amérique,Uruguay,1998,1050,1000hl
Amérique,Uruguay,1999,1050,1000hl
Amérique,Uruguay,2000,904,1000hl
Amérique,Uruguay,2001,873,1000hl
Amérique,Uruguay,2002,714,1000hl
Amérique,Uruguay,2003,840,1000hl
Amérique,Uruguay,2004,1126,1000hl
Amérique,Uruguay,2005,876,1000hl
Amérique,Uruguay,2006,939,1000hl
Amérique,Uruguay,2007,884,1000hl
Amérique,Uruguay,2008,796,1000hl
Amérique,Uruguay,2009,620,1000hl
Amérique,Uruguay,2010,769,1000hl
Amérique,Uruguay,2011,901,1000hl
Amérique,Uruguay,2012,962,1000hl
Amérique,Uruguay,2013,667,1000hl
Amérique,Uruguay,2014,670,1000hl
Amérique,Uruguay,2015,658,1000hl
Amérique,Uruguay,2016,755,1000hl
Amérique,Uruguay,2017,763,1000hl
Amérique,Uruguay,2018,745,1000hl
Amérique,Uruguay,2019,585,1000hl
Afrique,Zimbabwe,1995,15,1000hl
Afrique,Zimbabwe,1996,15,1000hl
Afrique,Zimbabwe,1997,17,1000hl
Afrique,Zimbabwe,1998,16,1000hl
Afrique,Zimbabwe,1999,17,1000hl
Afrique,Zimbabwe,2000,16,1000hl
Afrique,Zimbabwe,2001,16,1000hl
Afrique,Zimbabwe,2002,16,1000hl
Afrique,Zimbabwe,2003,16,1000hl
Afrique,Zimbabwe,2004,16,1000hl
Afrique,Zimbabwe,2005,21,1000hl
Afrique,Zimbabwe,2006,24,1000hl
Afrique,Zimbabwe,2007,18,1000hl
Afrique,Zimbabwe,2008,18,1000hl
Afrique,Zimbabwe,2009,18,1000hl
Afrique,Zimbabwe,2010,18,1000hl
Afrique,Zimbabwe,2011,18,1000hl
Afrique,Zimbabwe,2012,18,1000hl
Afrique,Zimbabwe,2013,18,1000hl
Afrique,Zimbabwe,2014,21,1000hl
Afrique,Zimbabwe,2015,23,1000hl
Afrique,Zimbabwe,2016,20,1000hl
Afrique,Zimbabwe,2017,22,1000hl
Afrique,Zimbabwe,2018,20,1000hl
Afrique,Zimbabwe,2019,20,1000hl
